Weeks,Suscept,Infect,Inf_Ratio
0,20,30000,NA
1,18,30102,0.9
2,16.25508,30205.74492,0.90306
3,14.729904,30311.01502,0.906172348
4,13.39435024,30417.62067,0.90933045
5,12.22272794,30525.39794,0.91252862
6,11.19310903,30634.20483,0.915761938
7,10.28675984,30743.91807,0.919026145
8,9.487659053,30854.43041,0.922317542
9,8.78208948,30965.64832,0.925632912
10,8.158292831,31077.49003,0.92896945
11,7.606177922,31189.88385,0.932324701
12,7.117074178,31302.76678,0.935696515
13,6.683523394,31416.08325,0.939083003
14,6.299103821,31529.78415,0.942482498
15,5.958281514,31643.82587,0.945893524
16,5.656284681,31758.16958,0.949314776
17,5.388997443,31872.78058,0.952745087
18,5.152869992,31987.62771,0.956183418
19,4.944842609,32102.68287,0.959628831
20,4.762281424,32217.92059,0.963080486
21,4.602924142,32333.31767,0.966537618
22,4.464834255,32448.85283,0.96999953
23,4.346362489,32564.50647,0.973465585
24,4.246114482,32680.26036,0.976935194
25,4.162923803,32796.09743,0.980407811
26,4.09582964,32912.0016,0.983882923
27,4.04405855,33027.95754,0.987360048
28,4.007009822,33143.95053,0.990838726
29,3.98424406,33259.96629,0.994318516
30,3.975474694,33375.99081,0.997798989
31,3.980562206,33492.01025,1.001279724
32,3.999510907,33608.01074,1.004760308
33,4.032468165,33723.97827,1.008240322
34,4.079726064,33839.89855,1.011719348
35,4.141725483,33955.75682,1.015196956
36,4.2190627,34071.53776,1.018672705
37,4.312498622,34187.22526,1.022146133
38,4.422970855,34302.80229,1.025616758
39,4.551608843,34418.25068,1.029084069
40,4.699752425,34533.55093,1.03254752
41,4.868974192,34648.68195,1.036006528
42,5.061106146,34763.62085,1.039460459
43,5.278271254,34878.34258,1.042908625
44,5.522920591,34992.81966,1.046350277
45,5.797876926,35107.02178,1.04978459
46,6.106385746,35220.91539,1.053210653
47,6.452174871,35334.46322,1.056627462
48,6.83952407,35447.62369,1.060033897
49,7.273346265,35560.35035,1.063428711
