"Week","Births","Susceptibles","Infected"
0,120,30000,20
1,126,30102,18
2,132.3,30211.74492,16.25508
3,138.915,30329.3120900816,14.7328299184258
4,145.86075,30454.8219921846,13.4050978969808
5,153.1537875,30588.4352460774,12.2474961072108
6,160.811476875,30730.3500813293,11.23895224806
7,168.85205071875,30880.8002500904,10.3613081139069
8,177.294653254688,31040.0533362233,9.59896458585596
9,186.159385917422,31208.4094182965,8.93857118152463
10,195.467355213293,31386.2000465425,8.36875767142821
11,205.240722973958,31573.7874966833,7.87990507249448
12,215.502759122656,31771.5642662096,7.46395344758932
13,226.277897078788,31979.9527810331,7.11424429920243
14,237.591791932728,32199.405282209,6.82539590283683
15,249.471381529364,32430.4038634752,6.59321066660916
16,261.944950605832,32673.4606304643,6.41461454025322
17,275.042198136124,32929.1179514009,6.28762966921702
18,288.79430804293,33197.9487665666,6.21138297037125
19,303.234023445077,33480.556919401,6.18615520859728
20,318.395724617331,33777.5774651988,6.2134776472107
21,334.315510848197,34089.6769031395,6.29628667670823
22,351.031286390607,34417.5532626327,6.43915135495576
23,368.582850710137,34761.9359539815,6.6485950417603
24,387.011993245644,35123.5852636409,6.93354105076892
25,406.362592907927,35503.2913322783,7.3059246082691
26,426.680722553323,35901.8723940916,7.78153109457117
27,448.014758680989,36320.1719705533,8.38114609163851
28,470.415496615038,36759.0545892136,9.13214002075925
29,493.93627144579,37219.3994208224,10.0706650061829
30,518.63308501808,37702.0909691693,11.2447230989526
31,544.564739268984,38208.0055669913,12.7184871959949
32,571.792976232433,38737.9918653727,14.5784408876485
33,600.382625044055,39292.8426558696,16.9421857354663
34,630.401756296258,39873.2540817632,19.9711991505059
35,661.921844111071,40479.7663371181,23.8895009413684
36,695.017936316624,41112.6769387486,29.0112424805087
37,729.768833132455,41771.9129798745,35.7818951907856
38,766.257274789078,42456.841466642,44.8403463649346
39,804.570138528532,43165.9853571233,57.1133843077604
40,844.798645454959,43896.5948303301,73.9606653217362
41,887.038577727707,44643.9948350148,97.398640770297
42,931.390506614092,45400.5854802779,130.447932464598
43,977.960031944797,46154.3036116344,177.672375257535
44,1026.85803354204,46886.2533010481,246.010342531095
45,1078.20093521914,47567.0762375525,346.035097037717
46,1132.1109819801,48151.4808375217,493.796335249858
47,1188.7165310791,48570.2810762692,713.31074323266
48,1248.15235763306,48719.6265085423,1039.37109880598
49,1310.55997551471,48448.6457140473,1519.13315212802
50,1376.08797429044,47551.2073731646,2207.99831639743
51,1444.89237300497,45777.5057727767,3149.78957467838
52,1517.13699165521,42896.7128326455,4325.68531313614
53,1592.99384123798,38847.1194038409,5566.73042045979
54,1672.64353329987,33952.570005101,6487.54323997785
55,1756.27570996487,29017.1505579069,6608.06298049404
56,1844.08949546311,25021.0115158379,5752.41475203379
57,1936.29397023627,22547.1639386656,4317.9370726354
58,2033.10866874808,21562.7408572953,2920.71705160657
59,2134.76410218548,21706.4895790051,1889.35994703829
60,2241.50230729476,22610.9125211493,1230.34116004129
61,2353.5774226595,24017.8407382182,834.574090225889
62,2471.25629379247,25770.078133379,601.340027498662
63,2594.8191084821,27776.4370423704,464.897384801065
64,2724.5600639062,29983.8603626499,387.395788202683
65,2860.78806710151,32359.9517899996,348.468636556438
66,3003.82747045659,34882.4470087223,338.292848378797
67,3154.01884397942,37532.2600084688,354.014470710094
68,3311.71978617839,40287.6699576047,398.608894843551
69,3477.30577548731,43117.6190358544,481.770707928677
70,3651.17106426167,45971.7406359286,623.184175413077
71,3833.72961747476,48763.4458617752,859.46583841515
72,4025.41609834849,51339.8600028018,1257.31547644807
73,4226.68690326592,53428.7640849443,1936.512016206
74,4438.02124842922,54551.4876783643,3103.96330984591
75,4659.92231085068,53909.7344392589,5079.77448753463
76,4892.91842639321,50354.1779410802,8215.47880902943
77,5137.56434771287,42836.5859128421,12410.5104546312
78,5394.44256509851,32025.4333411939,15948.7169193611
79,5664.16469335344,22096.9387889353,15322.9371173571
80,5947.37292802111,17603.4033758204,10157.7001064683
81,6244.74157442217,18186.4735334982,5364.30277034328
82,6556.97865314328,21504.4825971648,2926.73251075558
83,6884.82758580044,26173.3251999851,1888.136050323
84,7229.06896509046,31575.588819778,1482.56396600758
85,7590.52241334499,37400.2728791782,1404.38490569024
86,7970.04853401224,43415.0639315168,1575.73136100641
87,8368.55096071285,49332.7981322193,2052.31433330968
88,8786.97850874849,54663.9568316614,3037.3922612708
89,9226.32743418592,58469.858956882,4981.07638352788
90,9687.64380589521,58958.901383118,8737.28500794993
91,10172.02599619,53192.3234348157,15454.2217541975
92,10680.6272959995,38702.9705715266,24661.3788594791
93,11214.6586607994,20749.5392599755,28634.0586075506
94,11775.3915938394,14139.8922232806,17824.3056974943
95,12364.1611735314,18354.2709715987,7561.01284552127
96,12982.369232208,26555.125787537,4163.30635759309
97,13631.4876938184,36220.7812992069,3316.71372053812
98,14313.0620785093,46248.2501239146,3604.0188691107
99,15028.7151824347,55560.9252191257,5000.38698329818
100,15780.1509415565,62254.8565841888,8334.78381737158
