"Weeks","Infected Ratio"
1,1.05
2,1.05
3,1.05
4,1.05
5,1.05
6,1.05
7,1.05
8,1.05
9,1.05
10,1.05
11,1.05
12,1.05
13,1.05
14,1.05
15,1.05
16,1.05
17,1.05
18,1.05
19,1.05
20,1.05
21,1.05
22,1.05
23,1.05
24,1.05
25,1.05
26,1.05
27,1.05
28,1.05
29,1.05
30,1.05
31,1.05
32,1.05
33,1.05
34,1.05
35,1.05
36,1.05
37,1.05
38,1.05
39,1.05
40,1.05
41,1.05
42,1.05
43,1.05
44,1.05
45,1.05
46,1.05
47,1.05
48,1.05
49,1.05
50,1.05
51,1.05
52,1.05
53,1.05
54,1.05
55,1.05
56,1.05
57,1.05
58,1.05
59,1.05
60,1.05
61,1.05
62,1.05
63,1.05
64,1.05
65,1.05
66,1.05
67,1.05
68,1.05
69,1.05
70,1.05
71,1.05
72,1.05
73,1.05
74,1.05
75,1.05
76,1.05
77,1.05
78,1.05
79,1.05
80,1.05
81,1.05
82,1.05
83,1.05
84,1.05
85,1.05
86,1.05
87,1.05
88,1.05
89,1.05
90,1.05
91,1.05
92,1.05
93,1.05
94,1.05
95,1.05
96,1.05
97,1.05
98,1.05
99,1.05
100,1.05
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
